Question,Log,Mode,Correlation,P-Value,significance
AverageResponses,Sent_Word_Duration__Nothing,Delta_Social,0.7335452674811557,0.0008045121170977373,***
AverageResponses,Sent_Word_Duration__Nothing,Delta_Task,0.16415958755764798,0.515105524470723,-
AverageResponses,Sent_Word_Duration__Nothing,Social,0.7931130713907518,0.000145655140532384,***
AverageResponses,Sent_Word_Duration__Nothing,Task,-0.30212206607115477,0.22303350846071027,-
AverageResponses,Sent_Word_Duration__Word_length,Baseline,-0.01589549506085714,0.9277870995887181,-
AverageResponses,Sent_Word_Duration__Word_length,Delta_Social,0.7298529255307472,0.0008814694414812491,***
AverageResponses,Sent_Word_Duration__Word_length,Delta_Task,0.0020779694627550377,0.993470899037821,-
AverageResponses,Sent_Word_Duration__Word_length,Social,0.799270781572357,0.00011837520099238005,***
AverageResponses,Sent_Word_Duration__Word_length,Task,-0.3590286196119544,0.14341715532338356,-
AverageResponses,Time_To_Start__Nothing,Baseline,0.05064051523812896,0.7726592362552789,-
AverageResponses,Time_To_Start__Nothing,Delta_Social,-0.18954022012096974,0.4662382287956023,-
AverageResponses,Time_To_Start__Nothing,Delta_Task,0.01766274043341782,0.9445424589034681,-
AverageResponses,Time_To_Start__Nothing,Social,-0.21305677228354045,0.41162672131617817,-
AverageResponses,Time_To_Start__Nothing,Task,-0.28970609075316206,0.24357438661562572,-
AverageResponses,Time_To_Start__Word_length,Baseline,0.0008440085873021491,0.99616069431792,-
AverageResponses,Time_To_Start__Word_length,Delta_Social,-0.20923271052314846,0.42026710148877855,-
AverageResponses,Time_To_Start__Word_length,Delta_Task,-0.0831187785102015,0.7429915070250162,-
AverageResponses,Time_To_Start__Word_length,Social,-0.26601307984534533,0.3020706601797156,-
AverageResponses,Time_To_Start__Word_length,Task,-0.3476473089037945,0.1574783745543716,-
AverageResponses,n_erased__Attempt_Duration,Baseline,-0.06247413767044349,0.7214454732345466,-
AverageResponses,n_erased__Attempt_Duration,Delta_Social,-0.4738505503024244,0.05467077623747071,-
AverageResponses,n_erased__Attempt_Duration,Delta_Task,-0.17178741372946502,0.49548997227376956,-
AverageResponses,n_erased__Attempt_Duration,Social,-0.5381838698722958,0.02584155103013062,*
AverageResponses,n_erased__Attempt_Duration,Task,-0.07153966746666757,0.7778756901530729,-
AverageResponses,n_erased__Nothing,Baseline,-0.06043555525479973,0.7301905253033363,-
AverageResponses,n_erased__Nothing,Delta_Social,-0.03822453053677366,0.884196625407011,-
AverageResponses,n_erased__Nothing,Delta_Task,-0.27400894785423363,0.27120523565379584,-
AverageResponses,n_erased__Nothing,Social,-0.14435602293257666,0.5804220532511721,-
AverageResponses,n_erased__Nothing,Task,-0.2188154417029624,0.38301787930555975,-
AverageResponses,n_erased__Word_length,Baseline,-0.07451507326398278,0.6705309601413272,-
AverageResponses,n_erased__Word_length,Delta_Social,-0.08615464550953171,0.7423225125479487,-
AverageResponses,n_erased__Word_length,Delta_Task,-0.29114836067382255,0.24112882599626004,-
AverageResponses,n_erased__Word_length,Social,-0.17857359526655128,0.49287727554946525,-
AverageResponses,n_erased__Word_length,Task,-0.2007261410788382,0.4244936789511683,-
I enjoyed teaching Blueberry how to write in a group,Accepted_or_Rejected__Nothing,Baseline,0.08896042154121497,0.6113181461350795,-
I enjoyed teaching Blueberry how to write in a group,Accepted_or_Rejected__Nothing,"Delta Logs, Delta_Social",0.6500144103866492,0.0047327040936539,**
I enjoyed teaching Blueberry how to write in a group,Accepted_or_Rejected__Nothing,"Delta Logs, Delta_Task",0.06945745773728994,0.7841939155086045,-
I enjoyed teaching Blueberry how to write in a group,Accepted_or_Rejected__Nothing,Delta_Social,0.6035191558579743,0.01031405069202597,*
I enjoyed teaching Blueberry how to write in a group,Accepted_or_Rejected__Nothing,Delta_Task,0.0388827610423048,0.8782566901447321,-
I enjoyed teaching Blueberry how to write in a group,Accepted_or_Rejected__Nothing,Social,0.43362657373336305,0.0820479160261865,-
I enjoyed teaching Blueberry how to write in a group,Accepted_or_Rejected__Nothing,Task,0.21627209630135927,0.388709496710657,-
I enjoyed teaching Blueberry how to write in a group,Accepted_or_Rejected__Word_length,Baseline,0.0867901665153745,0.6200726753780776,-
I enjoyed teaching Blueberry how to write in a group,Accepted_or_Rejected__Word_length,"Delta Logs, Delta_Social",0.5983672432051761,0.011165073945712855,*
I enjoyed teaching Blueberry how to write in a group,Accepted_or_Rejected__Word_length,"Delta Logs, Delta_Task",0.005236642894500179,0.9835470503142048,-
I enjoyed teaching Blueberry how to write in a group,Accepted_or_Rejected__Word_length,Delta_Social,0.5554350643204997,0.020628341449901298,*
I enjoyed teaching Blueberry how to write in a group,Accepted_or_Rejected__Word_length,Delta_Task,-0.052447933163887496,0.8362564055422714,-
I enjoyed teaching Blueberry how to write in a group,Accepted_or_Rejected__Word_length,Social,0.4328168128517073,0.08268519959242171,-
I enjoyed teaching Blueberry how to write in a group,Accepted_or_Rejected__Word_length,Task,0.09477808716133955,0.7083408140992714,-
I enjoyed teaching Blueberry how to write in a group,Answer_Time__Nothing,Baseline,-0.09449762657743437,0.589222612703115,-
I enjoyed teaching Blueberry how to write in a group,Answer_Time__Nothing,"Delta Logs, Delta_Social",0.08656239293352659,0.7411421583052396,-
I enjoyed teaching Blueberry how to write in a group,Answer_Time__Nothing,"Delta Logs, Delta_Task",-0.2849549041962397,0.25174150416441654,-
I enjoyed teaching Blueberry how to write in a group,Answer_Time__Nothing,Delta_Social,0.05992781049244148,0.8192789541894689,-
I enjoyed teaching Blueberry how to write in a group,Answer_Time__Nothing,Delta_Task,-0.35161866618710313,0.15246904109162096,-
I enjoyed teaching Blueberry how to write in a group,Answer_Time__Nothing,Social,-0.20871733771961853,0.4214388196486757,-
I enjoyed teaching Blueberry how to write in a group,Answer_Time__Nothing,Task,-0.17385092967852253,0.490246169545561,-
I enjoyed teaching Blueberry how to write in a group,Answer_Time__Word_length,Baseline,-0.0841887945871688,0.63063425546696,-
I enjoyed teaching Blueberry how to write in a group,Answer_Time__Word_length,"Delta Logs, Delta_Social",-0.08123547644530957,0.7566047264815201,-
I enjoyed teaching Blueberry how to write in a group,Answer_Time__Word_length,"Delta Logs, Delta_Task",-0.3084832907812503,0.21295700285242145,-
I enjoyed teaching Blueberry how to write in a group,Answer_Time__Word_length,Delta_Social,0.026634582441085106,0.9191776603833333,-
I enjoyed teaching Blueberry how to write in a group,Answer_Time__Word_length,Delta_Task,-0.48494619016882995,0.0413704680354308,*
I enjoyed teaching Blueberry how to write in a group,Answer_Time__Word_length,Social,-0.17672416916405656,0.4974404225139515,-
I enjoyed teaching Blueberry how to write in a group,Answer_Time__Word_length,Task,-0.37793680364896204,0.122021130913256,-
I enjoyed teaching Blueberry how to write in a group,Attempt_Duration__Nothing,Baseline,0.111869917523993,0.5222970057951342,-
I enjoyed teaching Blueberry how to write in a group,Attempt_Duration__Nothing,"Delta Logs, Delta_Social",0.1904372644537585,0.46409145159504916,-
I enjoyed teaching Blueberry how to write in a group,Attempt_Duration__Nothing,"Delta Logs, Delta_Task",0.12809899362950225,0.6124660997239755,-
I enjoyed teaching Blueberry how to write in a group,Attempt_Duration__Nothing,Delta_Social,0.2383795128477117,0.35685184094207334,-
I enjoyed teaching Blueberry how to write in a group,Attempt_Duration__Nothing,Delta_Task,0.2365909984381623,0.3445448734974167,-
I enjoyed teaching Blueberry how to write in a group,Attempt_Duration__Nothing,Social,0.27879761169846856,0.2785320889763507,-
I enjoyed teaching Blueberry how to write in a group,Attempt_Duration__Nothing,Task,0.0075587360729792415,0.9762529380613245,-
I enjoyed teaching Blueberry how to write in a group,Attempt_Duration__Word_length,Baseline,0.07387996259690323,0.6731830923111034,-
I enjoyed teaching Blueberry how to write in a group,Attempt_Duration__Word_length,"Delta Logs, Delta_Social",-0.03595668629546489,0.8910275362838351,-
I enjoyed teaching Blueberry how to write in a group,Attempt_Duration__Word_length,"Delta Logs, Delta_Task",-0.02614265176112291,0.9179882702556346,-
I enjoyed teaching Blueberry how to write in a group,Attempt_Duration__Word_length,Delta_Social,0.33959092612383507,0.18234779701264284,-
I enjoyed teaching Blueberry how to write in a group,Attempt_Duration__Word_length,Delta_Task,0.1385560543339514,0.5834873774041778,-
I enjoyed teaching Blueberry how to write in a group,Attempt_Duration__Word_length,Social,0.37020666471435987,0.14354879129136536,-
I enjoyed teaching Blueberry how to write in a group,Attempt_Duration__Word_length,Task,0.0075587360729792415,0.9762529380613245,-
I enjoyed teaching Blueberry how to write in a group,Sent_Word_Duration__Nothing,Baseline,-0.1067229753882754,0.5417304352474128,-
I enjoyed teaching Blueberry how to write in a group,Sent_Word_Duration__Nothing,"Delta Logs, Delta_Social",0.4847494004277489,0.048597805337281016,*
I enjoyed teaching Blueberry how to write in a group,Sent_Word_Duration__Nothing,"Delta Logs, Delta_Task",0.12940612621755837,0.6088125103691602,-
I enjoyed teaching Blueberry how to write in a group,Sent_Word_Duration__Nothing,Delta_Social,0.6339030620978255,0.006285093717989162,**
I enjoyed teaching Blueberry how to write in a group,Sent_Word_Duration__Nothing,Delta_Task,-0.0287569169372352,0.9098172742452768,-
I enjoyed teaching Blueberry how to write in a group,Sent_Word_Duration__Nothing,Social,0.5515012865292109,0.021737743346274527,*
I enjoyed teaching Blueberry how to write in a group,Sent_Word_Duration__Nothing,Task,-0.18896840182448102,0.4526682891047513,-
I enjoyed teaching Blueberry how to write in a group,Sent_Word_Duration__Word_length,Baseline,-0.13019672995113177,0.4559921937129613,-
I enjoyed teaching Blueberry how to write in a group,Sent_Word_Duration__Word_length,"Delta Logs, Delta_Social",0.40085046573833083,0.11080751000323816,-
I enjoyed teaching Blueberry how to write in a group,Sent_Word_Duration__Word_length,"Delta Logs, Delta_Task",0.05228530352224582,0.8367576737938471,-
I enjoyed teaching Blueberry how to write in a group,Sent_Word_Duration__Word_length,Delta_Social,0.6152588543890659,0.008566905970706843,**
I enjoyed teaching Blueberry how to write in a group,Sent_Word_Duration__Word_length,Delta_Task,-0.16208444091896204,0.5205040924340167,-
I enjoyed teaching Blueberry how to write in a group,Sent_Word_Duration__Word_length,Social,0.5515012865292109,0.021737743346274527,*
I enjoyed teaching Blueberry how to write in a group,Sent_Word_Duration__Word_length,Task,-0.28534228675496637,0.2510692360549012,-
I enjoyed teaching Blueberry how to write in a group,Time_To_Start__Nothing,Baseline,0.15692333140737585,0.3679870548800569,-
I enjoyed teaching Blueberry how to write in a group,Time_To_Start__Nothing,"Delta Logs, Delta_Social",-0.4128360278368191,0.09957031866514493,-
I enjoyed teaching Blueberry how to write in a group,Time_To_Start__Nothing,"Delta Logs, Delta_Task",0.04052111022974051,0.8731653895053761,-
I enjoyed teaching Blueberry how to write in a group,Time_To_Start__Nothing,Delta_Social,-0.20109109743019254,0.4389765627741631,-
I enjoyed teaching Blueberry how to write in a group,Time_To_Start__Nothing,Delta_Task,0.06797089457891957,0.788712614062688,-
I enjoyed teaching Blueberry how to write in a group,Time_To_Start__Nothing,Social,-0.28336806434926315,0.2703967413507688,-
I enjoyed teaching Blueberry how to write in a group,Time_To_Start__Nothing,Task,-0.015117472145958483,0.9525248637572927,-
I enjoyed teaching Blueberry how to write in a group,Time_To_Start__Word_length,Baseline,0.1389783275724691,0.425903150862611,-
I enjoyed teaching Blueberry how to write in a group,Time_To_Start__Word_length,"Delta Logs, Delta_Social",-0.46344173447488085,0.06098295213648397,-
I enjoyed teaching Blueberry how to write in a group,Time_To_Start__Word_length,"Delta Logs, Delta_Task",0.02614265176112291,0.9179882702556346,-
I enjoyed teaching Blueberry how to write in a group,Time_To_Start__Word_length,Delta_Social,-0.21840357601689786,0.39970575877746406,-
I enjoyed teaching Blueberry how to write in a group,Time_To_Start__Word_length,Delta_Task,-0.06797089457891957,0.788712614062688,-
I enjoyed teaching Blueberry how to write in a group,Time_To_Start__Word_length,Social,-0.274227159047674,0.2868148740318052,-
I enjoyed teaching Blueberry how to write in a group,Time_To_Start__Word_length,Task,-0.08692546483926127,0.7316229164825416,-
I enjoyed teaching Blueberry how to write in a group,n_erased__Attempt_Duration,Baseline,0.007447353934315987,0.9661323564783755,-
I enjoyed teaching Blueberry how to write in a group,n_erased__Attempt_Duration,"Delta Logs, Delta_Social",-0.3981870074942223,0.11342153054003817,-
I enjoyed teaching Blueberry how to write in a group,n_erased__Attempt_Duration,"Delta Logs, Delta_Task",0.009168872087224552,0.9711962305128786,-
I enjoyed teaching Blueberry how to write in a group,n_erased__Attempt_Duration,Delta_Social,-0.4341436937896872,0.08164281133100942,-
I enjoyed teaching Blueberry how to write in a group,n_erased__Attempt_Duration,Delta_Task,0.25803825731189095,0.3012247443791629,-
I enjoyed teaching Blueberry how to write in a group,n_erased__Attempt_Duration,Social,-0.3564953067619762,0.16015107774825618,-
I enjoyed teaching Blueberry how to write in a group,n_erased__Attempt_Duration,Task,0.043552717469211646,0.8637570625715154,-
I enjoyed teaching Blueberry how to write in a group,n_erased__Nothing,Baseline,0.011184361024162882,0.9491562024872773,-
I enjoyed teaching Blueberry how to write in a group,n_erased__Nothing,"Delta Logs, Delta_Social",-0.2663458244108511,0.3014434442305951,-
I enjoyed teaching Blueberry how to write in a group,n_erased__Nothing,"Delta Logs, Delta_Task",-0.037985327218501716,0.8810474778887886,-
I enjoyed teaching Blueberry how to write in a group,n_erased__Nothing,Delta_Social,-0.03202041418470159,0.9029008328957462,-
I enjoyed teaching Blueberry how to write in a group,n_erased__Nothing,Delta_Task,0.1956735762813828,0.43648576702966424,-
I enjoyed teaching Blueberry how to write in a group,n_erased__Nothing,Social,0.01678921733667736,0.9490061223527253,-
I enjoyed teaching Blueberry how to write in a group,n_erased__Nothing,Task,-0.0104418668647749,0.9671990615254036,-
I enjoyed teaching Blueberry how to write in a group,n_erased__Word_length,Baseline,0.009931197046903227,0.9548468811363047,-
I enjoyed teaching Blueberry how to write in a group,n_erased__Word_length,"Delta Logs, Delta_Social",-0.2623506370446883,0.3090255992999699,-
I enjoyed teaching Blueberry how to write in a group,n_erased__Word_length,"Delta Logs, Delta_Task",-0.018337744174449104,0.9424263427729194,-
I enjoyed teaching Blueberry how to write in a group,n_erased__Word_length,Delta_Social,-0.08523066381147233,0.7449992770897426,-
I enjoyed teaching Blueberry how to write in a group,n_erased__Word_length,Delta_Task,0.1729883853079674,0.4924347824081221,-
I enjoyed teaching Blueberry how to write in a group,n_erased__Word_length,Social,-0.015234842169315222,0.9537222355397876,-
I enjoyed teaching Blueberry how to write in a group,n_erased__Word_length,Task,-0.028418674694154305,0.9108739965472712,-
I enjoyed writing on the tablet,Accepted_or_Rejected__Nothing,Baseline,0.1336332055168621,0.444083983183323,-
I enjoyed writing on the tablet,Accepted_or_Rejected__Nothing,"Delta Logs, Delta_Social",0.38673940466404655,0.12515212201608808,-
I enjoyed writing on the tablet,Accepted_or_Rejected__Nothing,"Delta Logs, Delta_Task",0.11956547365199773,0.636529271242301,-
I enjoyed writing on the tablet,Accepted_or_Rejected__Nothing,Delta_Social,0.17666631333439334,0.49758349626266474,-
I enjoyed writing on the tablet,Accepted_or_Rejected__Nothing,Delta_Task,0.034358153126353215,0.8923403265980165,-
I enjoyed writing on the tablet,Accepted_or_Rejected__Nothing,Social,0.10301327744925143,0.6940003274873203,-
I enjoyed writing on the tablet,Accepted_or_Rejected__Nothing,Task,0.23569498597116972,0.3464289478502999,-
I enjoyed writing on the tablet,Accepted_or_Rejected__Word_length,Baseline,0.060653558668657,0.7292537189142646,-
I enjoyed writing on the tablet,Accepted_or_Rejected__Word_length,"Delta Logs, Delta_Social",0.30564976687205925,0.23284893249494643,-
I enjoyed writing on the tablet,Accepted_or_Rejected__Word_length,"Delta Logs, Delta_Task",0.06825236327899352,0.7878565378356387,-
I enjoyed writing on the tablet,Accepted_or_Rejected__Word_length,Delta_Social,0.11755760264309971,0.6531817812050619,-
I enjoyed writing on the tablet,Accepted_or_Rejected__Word_length,Delta_Task,-0.034179296351233165,0.8928977071439334,-
I enjoyed writing on the tablet,Accepted_or_Rejected__Word_length,Social,0.10282090888278797,0.694545868371871,-
I enjoyed writing on the tablet,Accepted_or_Rejected__Word_length,Task,0.16412762703128408,0.5151884713600483,-
I enjoyed writing on the tablet,Answer_Time__Nothing,Baseline,0.12208183222695076,0.4847796027512943,-
I enjoyed writing on the tablet,Answer_Time__Nothing,"Delta Logs, Delta_Social",0.25671801540513517,0.31990509629797187,-
I enjoyed writing on the tablet,Answer_Time__Nothing,"Delta Logs, Delta_Task",-0.1022199413454573,0.6865010272445284,-
I enjoyed writing on the tablet,Answer_Time__Nothing,Delta_Social,0.24504901470490176,0.3431462655913279,-
I enjoyed writing on the tablet,Answer_Time__Nothing,Delta_Task,-0.2044398826909146,0.41579141308263934,-
I enjoyed writing on the tablet,Answer_Time__Nothing,Social,-0.10206207261596575,0.696699244080777,-
I enjoyed writing on the tablet,Answer_Time__Nothing,Task,-0.07012230125638468,0.7821751087521553,-
I enjoyed writing on the tablet,Answer_Time__Word_length,Baseline,0.08783445354942333,0.6158536460089123,-
I enjoyed writing on the tablet,Answer_Time__Word_length,"Delta Logs, Delta_Social",0.23338001400466835,0.36732490019556807,-
I enjoyed writing on the tablet,Answer_Time__Word_length,"Delta Logs, Delta_Task",-0.1362932551272764,0.5897089668473676,-
I enjoyed writing on the tablet,Answer_Time__Word_length,Delta_Social,0.28589051715571867,0.2659700003260857,-
I enjoyed writing on the tablet,Answer_Time__Word_length,Delta_Task,-0.1362932551272764,0.5897089668473676,-
I enjoyed writing on the tablet,Answer_Time__Word_length,Social,-0.05103103630798288,0.8457801257277214,-
I enjoyed writing on the tablet,Answer_Time__Word_length,Task,-0.21036690376915404,0.4021020578778828,-
I enjoyed writing on the tablet,Attempt_Duration__Nothing,Baseline,-0.057213267908339964,0.7440815003399858,-
I enjoyed writing on the tablet,Attempt_Duration__Nothing,"Delta Logs, Delta_Social",0.3267320196065357,0.200538333352475,-
I enjoyed writing on the tablet,Attempt_Duration__Nothing,"Delta Logs, Delta_Task",0.0681466275636382,0.7881781018728292,-
I enjoyed writing on the tablet,Attempt_Duration__Nothing,Delta_Social,0.4025805241580529,0.10913255139137473,-
I enjoyed writing on the tablet,Attempt_Duration__Nothing,Delta_Task,-0.0681466275636382,0.7881781018728292,-
I enjoyed writing on the tablet,Attempt_Duration__Nothing,Social,0.3572172541558802,0.1592459066983779,-
I enjoyed writing on the tablet,Attempt_Duration__Nothing,Task,0.3506115062819234,0.15372894485002397,-
I enjoyed writing on the tablet,Attempt_Duration__Word_length,Baseline,-0.07776169511485642,0.6570351984246348,-
I enjoyed writing on the tablet,Attempt_Duration__Word_length,"Delta Logs, Delta_Social",0.2217110133044349,0.39242591209752387,-
I enjoyed writing on the tablet,Attempt_Duration__Word_length,"Delta Logs, Delta_Task",-0.1022199413454573,0.6865010272445284,-
I enjoyed writing on the tablet,Attempt_Duration__Word_length,Delta_Social,0.4667600280093367,0.0589148094799619,-
I enjoyed writing on the tablet,Attempt_Duration__Word_length,Delta_Task,-0.30665982403637193,0.21581458833407338,-
I enjoyed writing on the tablet,Attempt_Duration__Word_length,Social,0.408248290463863,0.10377091535383602,-
I enjoyed writing on the tablet,Attempt_Duration__Word_length,Task,0.3506115062819234,0.15372894485002397,-
I enjoyed writing on the tablet,Sent_Word_Duration__Nothing,Baseline,0.03686887781511095,0.8334576982958245,-
I enjoyed writing on the tablet,Sent_Word_Duration__Nothing,"Delta Logs, Delta_Social",0.3267320196065357,0.200538333352475,-
I enjoyed writing on the tablet,Sent_Word_Duration__Nothing,"Delta Logs, Delta_Task",0.0340733137818191,0.8932280086145878,-
I enjoyed writing on the tablet,Sent_Word_Duration__Nothing,Delta_Social,0.16336600980326785,0.5309864784494774,-
I enjoyed writing on the tablet,Sent_Word_Duration__Nothing,Delta_Task,-0.0340733137818191,0.8932280086145878,-
I enjoyed writing on the tablet,Sent_Word_Duration__Nothing,Social,0.2041241452319315,0.431957080956069,-
I enjoyed writing on the tablet,Sent_Word_Duration__Nothing,Task,0.11687050209397445,0.6442026246677142,-
I enjoyed writing on the tablet,Sent_Word_Duration__Word_length,Baseline,-0.037067751039206176,0.8325720165559989,-
I enjoyed writing on the tablet,Sent_Word_Duration__Word_length,"Delta Logs, Delta_Social",0.25671801540513517,0.31990509629797187,-
I enjoyed writing on the tablet,Sent_Word_Duration__Word_length,"Delta Logs, Delta_Task",-0.1362932551272764,0.5897089668473676,-
I enjoyed writing on the tablet,Sent_Word_Duration__Word_length,Delta_Social,0.11669000700233417,0.6555921152214674,-
I enjoyed writing on the tablet,Sent_Word_Duration__Word_length,Delta_Task,-0.0681466275636382,0.7881781018728292,-
I enjoyed writing on the tablet,Sent_Word_Duration__Word_length,Social,0.2041241452319315,0.431957080956069,-
I enjoyed writing on the tablet,Sent_Word_Duration__Word_length,Task,-0.023374100418794893,0.9266500112348955,-
I enjoyed writing on the tablet,Time_To_Start__Nothing,Baseline,-0.09287083276670677,0.5956776219590415,-
I enjoyed writing on the tablet,Time_To_Start__Nothing,"Delta Logs, Delta_Social",-0.023338001400466834,0.9291558341268801,-
I enjoyed writing on the tablet,Time_To_Start__Nothing,"Delta Logs, Delta_Task",0.2725865102545528,0.27380095167874935,-
I enjoyed writing on the tablet,Time_To_Start__Nothing,Delta_Social,0.19253851155385138,0.45908218278473145,-
I enjoyed writing on the tablet,Time_To_Start__Nothing,Delta_Task,0.23851319647273372,0.3405229657945542,-
I enjoyed writing on the tablet,Time_To_Start__Nothing,Social,0.15309310892394865,0.5574624351198403,-
I enjoyed writing on the tablet,Time_To_Start__Nothing,Task,-0.2571151046067438,0.3030186296827211,-
I enjoyed writing on the tablet,Time_To_Start__Word_length,Baseline,-0.14081716291524518,0.4197457538807703,-
I enjoyed writing on the tablet,Time_To_Start__Word_length,"Delta Logs, Delta_Social",0.04667600280093367,0.8588116291446034,-
I enjoyed writing on the tablet,Time_To_Start__Word_length,"Delta Logs, Delta_Task",0.23851319647273372,0.3405229657945542,-
I enjoyed writing on the tablet,Time_To_Start__Word_length,Delta_Social,0.2158765129543182,0.4053166033608493,-
I enjoyed writing on the tablet,Time_To_Start__Word_length,Delta_Task,0.0681466275636382,0.7881781018728292,-
I enjoyed writing on the tablet,Time_To_Start__Word_length,Social,0.15309310892394865,0.5574624351198403,-
I enjoyed writing on the tablet,Time_To_Start__Word_length,Task,-0.2571151046067438,0.3030186296827211,-
I enjoyed writing on the tablet,n_erased__Attempt_Duration,Baseline,0.22125976143005696,0.2014777812022859,-
I enjoyed writing on the tablet,n_erased__Attempt_Duration,"Delta Logs, Delta_Social",0.12835900770256758,0.623451087598694,-
I enjoyed writing on the tablet,n_erased__Attempt_Duration,"Delta Logs, Delta_Task",0.1707192951022445,0.49821484559584983,-
I enjoyed writing on the tablet,n_erased__Attempt_Duration,Delta_Social,-0.017503501050350125,0.9468394494133474,-
I enjoyed writing on the tablet,n_erased__Attempt_Duration,Delta_Task,-0.27315087216359124,0.2727692564221872,-
I enjoyed writing on the tablet,n_erased__Attempt_Duration,Social,-0.05103103630798288,0.8457801257277214,-
I enjoyed writing on the tablet,n_erased__Attempt_Duration,Task,0.35133741079873654,0.15282016081774077,-
I enjoyed writing on the tablet,n_erased__Nothing,Baseline,0.19065571693022018,0.2726098243977736,-
I enjoyed writing on the tablet,n_erased__Nothing,"Delta Logs, Delta_Social",0.23921451435478505,0.3551192577381581,-
I enjoyed writing on the tablet,n_erased__Nothing,"Delta Logs, Delta_Task",0.0,1.0,-
I enjoyed writing on the tablet,n_erased__Nothing,Delta_Social,0.23965546314256395,0.35420623512631433,-
I enjoyed writing on the tablet,n_erased__Nothing,Delta_Task,-0.2738612787525831,0.27147399738443767,-
I enjoyed writing on the tablet,n_erased__Nothing,Social,0.15337530844256644,0.5567275247519647,-
I enjoyed writing on the tablet,n_erased__Nothing,Task,0.35225116373539667,0.15168145437133715,-
I enjoyed writing on the tablet,n_erased__Word_length,Baseline,0.19045517441450177,0.2731240257607117,-
I enjoyed writing on the tablet,n_erased__Word_length,"Delta Logs, Delta_Social",0.2158765129543182,0.4053166033608493,-
I enjoyed writing on the tablet,n_erased__Word_length,"Delta Logs, Delta_Task",0.0,1.0,-
I enjoyed writing on the tablet,n_erased__Word_length,Delta_Social,0.2158765129543182,0.4053166033608493,-
I enjoyed writing on the tablet,n_erased__Word_length,Delta_Task,-0.2732925112045662,0.27251070705658587,-
I enjoyed writing on the tablet,n_erased__Word_length,Social,0.15309310892394865,0.5574624351198403,-
I enjoyed writing on the tablet,n_erased__Word_length,Task,0.35151959251219767,0.15259266159214244,-
I enjoyed writing with Blueberry and a group of friends on the tablet,Accepted_or_Rejected__Nothing,Baseline,0.013395023513989357,0.939123675234343,-
I enjoyed writing with Blueberry and a group of friends on the tablet,Accepted_or_Rejected__Nothing,"Delta Logs, Delta_Social",0.3830385491170221,0.1291190417597632,-
